epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9293,1.75354,4.85941,1.56179,0.51614,0.36944,0.24683,0.17546,1.04596,2.8948,1.15393,0.00037154,0.00037154,0.00037154
2,34.8781,1.04249,1.90699,1.13695,0.32514,0.31401,0.30203,0.24243,0.94437,2.3299,1.12172,0.000749872,0.000749872,0.000749872
3,46.9822,1.02864,1.4802,1.12087,0.43187,0.36944,0.2992,0.20793,1.33943,2.53514,1.40794,0.00112056,0.00112056,0.00112056
4,58.6495,1.06893,1.49859,1.10891,0.31018,0.46389,0.36335,0.24143,1.38537,6.17873,1.31046,0.00138656,0.00138656,0.00138656
5,70.3641,1.04396,1.2169,1.14449,0.57074,0.26667,0.22504,0.18284,1.42772,41.522,1.69648,0.00137241,0.00137241,0.00137241
6,82.7719,1.03448,1.19491,1.13943,0.56004,0.48056,0.46464,0.32551,1.14918,1.9969,1.30154,0.00135826,0.00135826,0.00135826
7,95.1931,0.96866,1.02882,1.11888,0.70169,0.7,0.71008,0.51669,1.02951,1.22397,1.23697,0.00134412,0.00134412,0.00134412
8,107.823,0.95783,1.04581,1.10193,0.83851,0.40317,0.51386,0.42935,1.04306,2.56684,1.24747,0.00132997,0.00132997,0.00132997
9,119.812,0.91323,0.98941,1.0936,0.59062,0.68679,0.68862,0.51743,0.94743,1.31118,1.14944,0.00131582,0.00131582,0.00131582
10,131.653,0.90047,0.92477,1.08255,0.48087,0.64442,0.54936,0.43052,0.9233,1.49845,1.18044,0.00130168,0.00130168,0.00130168
11,143.562,0.87945,0.89897,1.0684,0.68583,0.60212,0.59463,0.48221,0.93209,1.33057,1.16624,0.00128753,0.00128753,0.00128753
12,155.463,0.87695,0.84303,1.078,0.7851,0.43366,0.5939,0.45101,0.94185,1.44622,1.15425,0.00127338,0.00127338,0.00127338
13,167.68,0.83679,0.80785,1.06499,0.68633,0.75885,0.7175,0.56136,0.90215,0.92509,1.1989,0.00125923,0.00125923,0.00125923
14,179.767,0.88444,0.81182,1.08797,0.80072,0.63643,0.7141,0.56758,1.00072,1.02075,1.35488,0.00124509,0.00124509,0.00124509
15,192.798,0.83149,0.75688,1.03735,0.81961,0.62721,0.73222,0.5676,0.84374,1.1124,1.15634,0.00123094,0.00123094,0.00123094
16,205.034,0.82214,0.75932,1.05559,0.78868,0.64645,0.7215,0.54758,0.96457,1.15688,1.19334,0.00121679,0.00121679,0.00121679
17,217.205,0.86235,0.78197,1.07475,0.74709,0.75464,0.74765,0.58026,0.91644,0.88011,1.15542,0.00120265,0.00120265,0.00120265
18,230.292,0.80931,0.74861,1.01552,0.77517,0.66733,0.75801,0.5802,0.93479,0.88875,1.23212,0.0011885,0.0011885,0.0011885
19,243.939,0.81687,0.74261,1.04993,0.76731,0.65119,0.71163,0.53284,0.89591,1.08253,1.16971,0.00117435,0.00117435,0.00117435
20,256.903,0.75683,0.69843,0.99578,0.68931,0.81737,0.75391,0.60038,0.84565,0.83519,1.11642,0.00116021,0.00116021,0.00116021
21,269.149,0.71245,0.66268,0.97765,0.75976,0.74996,0.76566,0.60506,0.85528,0.86758,1.1343,0.00114606,0.00114606,0.00114606
22,281.343,0.74252,0.67893,0.98796,0.68585,0.83413,0.78917,0.62172,0.78395,0.80578,1.1092,0.00113191,0.00113191,0.00113191
23,293.387,0.75234,0.67038,1.00388,0.72264,0.76672,0.72418,0.59177,0.78369,0.99914,1.1001,0.00111776,0.00111776,0.00111776
24,305.562,0.75554,0.69356,1.00394,0.80768,0.67052,0.74896,0.57295,0.82342,0.85223,1.14798,0.00110362,0.00110362,0.00110362
25,317.522,0.72801,0.66136,0.99078,0.84726,0.59939,0.75522,0.60803,0.73377,0.87567,1.11012,0.00108947,0.00108947,0.00108947
26,329.708,0.73485,0.67212,1.00278,0.6914,0.77203,0.74796,0.58179,0.80481,0.83085,1.13109,0.00107532,0.00107532,0.00107532
27,341.657,0.7343,0.65258,0.98641,0.82926,0.681,0.77066,0.60003,0.77221,0.9316,1.12255,0.00106118,0.00106118,0.00106118
28,353.426,0.65826,0.61077,0.95747,0.81793,0.68611,0.75122,0.58498,0.78138,0.93669,1.12503,0.00104703,0.00104703,0.00104703
29,365.309,0.66641,0.62274,0.9644,0.84119,0.7,0.7808,0.62262,0.73315,0.79423,1.08533,0.00103288,0.00103288,0.00103288
30,377.256,0.67117,0.61269,0.96234,0.82403,0.81389,0.80475,0.61534,0.85119,0.72665,1.24581,0.00101873,0.00101873,0.00101873
31,389.121,0.67179,0.64748,0.96554,0.74764,0.71002,0.74984,0.60197,0.76585,0.85777,1.17664,0.00100459,0.00100459,0.00100459
32,401.137,0.63529,0.57414,0.93664,0.71509,0.70956,0.70629,0.60634,0.70486,0.9566,1.07787,0.00099044,0.00099044,0.00099044
33,412.868,0.66099,0.58153,0.96684,0.77531,0.65,0.7749,0.61414,0.77279,0.77892,1.10536,0.000976293,0.000976293,0.000976293
34,424.95,0.65761,0.56485,0.96737,0.73753,0.78361,0.78177,0.60504,0.89658,0.80927,1.19038,0.000962146,0.000962146,0.000962146
35,437.033,0.65336,0.58028,0.95092,0.6935,0.79584,0.78708,0.63349,0.69498,0.73492,1.02922,0.000947999,0.000947999,0.000947999
36,449.046,0.62653,0.55128,0.94455,0.83699,0.69941,0.78715,0.62641,0.75301,0.85263,1.07982,0.000933851,0.000933851,0.000933851
37,460.887,0.66116,0.57727,0.96266,0.78141,0.76852,0.82431,0.61591,0.81745,0.75902,1.1791,0.000919704,0.000919704,0.000919704
38,473.191,0.65186,0.55605,0.96059,0.74609,0.83981,0.82366,0.6599,0.7367,0.66988,1.138,0.000905557,0.000905557,0.000905557
39,485.661,0.61338,0.54594,0.92717,0.78231,0.74635,0.78556,0.63362,0.75352,0.79702,1.16668,0.00089141,0.00089141,0.00089141
40,498.088,0.61968,0.53731,0.92441,0.79084,0.75346,0.77146,0.61651,0.71645,0.8122,1.0927,0.000877263,0.000877263,0.000877263
41,510.234,0.58384,0.52696,0.93358,0.75693,0.82668,0.79099,0.64633,0.71193,0.66238,1.06549,0.000863116,0.000863116,0.000863116
42,522.583,0.57642,0.50369,0.90777,0.81721,0.68586,0.82126,0.65084,0.72233,0.74072,1.11638,0.000848969,0.000848969,0.000848969
43,534.87,0.59072,0.52727,0.92214,0.80287,0.72849,0.77881,0.62832,0.73663,0.85151,1.1102,0.000834822,0.000834822,0.000834822
44,548.119,0.60776,0.5572,0.93366,0.73925,0.76997,0.78887,0.62823,0.7616,0.82572,1.14799,0.000820675,0.000820675,0.000820675
45,568.335,0.55964,0.4961,0.92185,0.72464,0.75,0.76899,0.61611,0.76805,0.89928,1.16984,0.000806528,0.000806528,0.000806528
46,582.841,0.57211,0.51331,0.92504,0.76901,0.71363,0.8024,0.63213,0.73486,0.8524,1.13569,0.00079238,0.00079238,0.00079238
47,595.315,0.58686,0.51526,0.93203,0.80514,0.71157,0.80314,0.61312,0.77907,0.81528,1.18979,0.000778233,0.000778233,0.000778233
48,608.056,0.57594,0.48745,0.9142,0.80032,0.71989,0.7971,0.6288,0.78323,0.81149,1.19058,0.000764086,0.000764086,0.000764086
49,620.276,0.58347,0.503,0.92704,0.78336,0.74167,0.7873,0.62779,0.79647,0.71918,1.20309,0.000749939,0.000749939,0.000749939
50,632.767,0.58403,0.51013,0.92342,0.71864,0.78611,0.78813,0.64226,0.74623,0.79601,1.14307,0.000735792,0.000735792,0.000735792
51,644.731,0.54974,0.48171,0.89977,0.77683,0.75833,0.8053,0.61653,0.84162,0.79424,1.28613,0.000721645,0.000721645,0.000721645
52,656.63,0.53624,0.47216,0.8985,0.78957,0.72427,0.77691,0.59562,0.82843,0.85505,1.29246,0.000707498,0.000707498,0.000707498
53,668.869,0.55201,0.47436,0.90455,0.74159,0.74167,0.75535,0.61198,0.7772,0.77612,1.26333,0.000693351,0.000693351,0.000693351
54,681.028,0.50798,0.4432,0.897,0.89892,0.70833,0.8191,0.64027,0.85128,0.70022,1.3042,0.000679204,0.000679204,0.000679204
55,693.235,0.5272,0.45203,0.90543,0.77617,0.75597,0.78611,0.63004,0.72322,0.77348,1.14561,0.000665057,0.000665057,0.000665057
56,705.305,0.53019,0.46352,0.88816,0.82313,0.76284,0.79431,0.61346,0.82169,0.81307,1.25013,0.000650909,0.000650909,0.000650909
57,717.31,0.53961,0.44585,0.91638,0.82564,0.74354,0.80582,0.64643,0.78037,0.80161,1.19577,0.000636762,0.000636762,0.000636762
58,729.379,0.52946,0.43746,0.897,0.78187,0.76182,0.78046,0.63969,0.7356,0.87274,1.17754,0.000622615,0.000622615,0.000622615
59,741.302,0.52729,0.45765,0.89519,0.69986,0.80833,0.78577,0.64339,0.68062,0.78513,1.13025,0.000608468,0.000608468,0.000608468
60,753.271,0.53156,0.4582,0.90597,0.86626,0.74901,0.81854,0.68645,0.68374,0.63785,1.17098,0.000594321,0.000594321,0.000594321
61,765.15,0.50887,0.44626,0.90294,0.8076,0.71389,0.7897,0.64435,0.69229,0.69847,1.15535,0.000580174,0.000580174,0.000580174
62,777.276,0.51233,0.4279,0.9031,0.82905,0.76667,0.79514,0.63839,0.72413,0.68981,1.16841,0.000566027,0.000566027,0.000566027
63,789.73,0.48681,0.42331,0.87993,0.86682,0.75833,0.80336,0.65732,0.70171,0.69938,1.15036,0.00055188,0.00055188,0.00055188
64,801.957,0.50573,0.43663,0.88327,0.72468,0.7895,0.80067,0.64815,0.68096,0.76479,1.12262,0.000537733,0.000537733,0.000537733
65,813.844,0.48417,0.43436,0.88255,0.82626,0.71602,0.79078,0.63383,0.69335,0.83578,1.12113,0.000523586,0.000523586,0.000523586
66,826.138,0.50526,0.42257,0.88632,0.83949,0.71389,0.80845,0.6546,0.738,0.76911,1.19789,0.000509438,0.000509438,0.000509438
67,839.085,0.47922,0.41807,0.87335,0.77164,0.73012,0.78873,0.62657,0.80407,0.79089,1.27395,0.000495291,0.000495291,0.000495291
68,851.69,0.4365,0.37967,0.86824,0.76439,0.72171,0.80238,0.62883,0.81109,0.82516,1.26083,0.000481144,0.000481144,0.000481144
69,865.516,0.46862,0.39273,0.87237,0.83407,0.7196,0.80875,0.65107,0.75518,0.79611,1.18154,0.000466997,0.000466997,0.000466997
70,877.344,0.48263,0.42205,0.88056,0.78447,0.77222,0.79811,0.63369,0.75896,0.80101,1.21485,0.00045285,0.00045285,0.00045285
71,889.161,0.47023,0.41189,0.88202,0.70207,0.79284,0.78209,0.61447,0.76474,0.8032,1.21738,0.000438703,0.000438703,0.000438703
72,901.129,0.45226,0.37722,0.86777,0.76491,0.69132,0.77797,0.62183,0.80349,0.8596,1.26954,0.000424556,0.000424556,0.000424556
73,912.969,0.47017,0.39157,0.87137,0.81197,0.67778,0.78123,0.62752,0.79535,0.77992,1.28636,0.000410409,0.000410409,0.000410409
74,924.911,0.45308,0.3758,0.87122,0.79681,0.75833,0.79142,0.63156,0.76432,0.72167,1.28871,0.000396262,0.000396262,0.000396262
75,937.089,0.45869,0.38093,0.89048,0.80261,0.73227,0.79299,0.62694,0.81283,0.76796,1.29518,0.000382115,0.000382115,0.000382115
76,948.872,0.45968,0.37933,0.85833,0.84168,0.72222,0.79362,0.61923,0.79877,0.76844,1.27475,0.000367967,0.000367967,0.000367967
77,960.981,0.44363,0.37636,0.87318,0.75946,0.75092,0.79034,0.62057,0.74359,0.77139,1.19759,0.00035382,0.00035382,0.00035382
78,972.991,0.44856,0.36904,0.86484,0.84122,0.75824,0.79693,0.6147,0.76962,0.86522,1.2168,0.000339673,0.000339673,0.000339673
79,984.942,0.44852,0.37378,0.86489,0.80344,0.74908,0.7978,0.63328,0.74922,0.78323,1.24595,0.000325526,0.000325526,0.000325526
80,997.041,0.43918,0.3564,0.85736,0.81732,0.74023,0.79467,0.63335,0.74549,0.77563,1.22028,0.000311379,0.000311379,0.000311379
81,1008.8,0.41789,0.3603,0.85068,0.80991,0.74444,0.794,0.62768,0.80166,0.74725,1.25828,0.000297232,0.000297232,0.000297232
82,1020.83,0.42485,0.36916,0.85732,0.82211,0.74212,0.79014,0.63255,0.71416,0.83004,1.20188,0.000283085,0.000283085,0.000283085
